lengdegrad,breddegrad,x,y
9.87394,64.77133,1919257.5887174008,794407.0007150981
10.50748,63.60458,1845106.391851431,686543.3464918965
7.95556,63.77772,1777802.8692242703,792068.322853137
9.38355,64.29424,1865105.6828950827,777037.4004208092
8.50034,64.12643,1823780.1562186552,796719.4247433795
10.85,64.7833,1950747.4406095336,761810.102653326
9.3333,63.775,1820941.2326025139,741360.2168083854
9.15657,64.31365,1859613.5335421467,786506.7646345296
9.85894,63.58303,1822162.8173162863,708349.4036714947
8.38027,64.0296,1812012.0508619808,794222.3970995306
7.97083,63.85889,1785078.37612841,797204.1102980366
8.0,63.8333,1783838.0610531764,794329.2975183232
10.19698,64.7353,1926392.3289522824,780631.3902441058
10.51584,63.59831,1844875.4640600316,685779.8334407296
9.12017,63.45257,1787573.1320858086,725902.62837475
10.0,63.45,1815929.76668188,693494.7333196215
9.8,63.6167,1822995.7186773077,712943.8440169157
9.2917,63.5533,1801389.320146231,726864.0445652902
9.8167,63.6,1822175.060999281,711120.0357259118
9.5167,63.6167,1813838.8984418828,723236.287595707
9.15349,64.31457,1859593.2526888035,786682.516170833
7.8833,63.8333,1780225.7683232143,798643.1747900022
9.20857,64.259,1856746.0939728995,780726.510295948
9.1079,64.21986,1850386.403789864,781510.3753688855
8.38238,64.03267,1812332.9213240822,794362.7946523726
10.473,63.5608,1840439.1536858885,684544.8971035338
9.38183,64.29852,1865402.3141665303,777407.2577972466
8.23451,64.05623,1809722.0453258345,801418.9750177762
9.11265,64.22007,1850551.9536827612,781355.5356714481
9.3826,64.29668,1865275.7449061356,777247.17142376
10.3833,63.4667,1829880.5784734231,680827.3874419844
10.50558,63.60379,1844980.2008050138,686553.0771531542
9.95,63.4833,1817004.8052369736,697751.5800560606
9.79233,63.65959,1826246.0750156946,716349.4694142253
9.9067,63.718,1834705.8883400229,716481.5922988036
9.9754,64.60432,1908876.323511168,778731.5653623983
7.85227,63.70314,1768338.957137432,790669.8518598035
10.4767,63.5609,1840568.9881611753,684419.2917226152
10.4333,63.55,1838260.7377976072,685174.790314106
9.0167,63.4917,1787479.0685972222,732532.2734758344
10.473,63.5627,1840592.545445957,684685.3218340201
10.54523,63.58369,1844663.4445656214,683644.0118086385
9.5833,63.75,1826894.8624101183,730491.4043788787
9.86693,64.77184,1919081.7331935025,794686.4283906019
9.7333,63.65,1823554.4072072685,717788.5196643004
7.84797,63.704,1768277.6521601346,790890.115396752
8.68,63.6633,1790960.503737188,757220.3179766904
9.95,64.1,1867159.5677645248,742831.9408417966
9.15152,64.31516,1859580.4155648318,786795.038901085
7.95,63.8833,1786479.6189158554,799686.5395904724
10.4167,63.55,1837714.7440016533,685772.2061103727
7.95444,63.77952,1777919.005578077,792236.2149928275
10.4783,63.5646,1840920.3280590717,684635.2674895863
10.5167,63.5667,1842353.7911075344,683411.0156428621
7.978,63.8135,1781497.4876815453,793751.0615534736
10.50728,63.6031,1844980.4193055888,686441.0833636292
9.3417,63.7,1815050.573034809,735636.8679737588
10.477,63.5644,1840861.4057331935,684667.2044995418
9.88917,64.57738,1903996.6721919777,779769.5414514404
10.51887,63.59407,1844633.1044720383,685357.5553821241
10.502,63.5472,1840296.2439828645,682496.9682393819
7.95351,63.78107,1778020.0842577792,792379.5081872013
9.5667,63.6333,1816810.3435649178,722621.6774150771
9.80063,63.63749,1824712.028632447,714437.3408748643
9.61391,64.48302,1887727.5184011604,782547.0808734393
9.2867,63.7933,1820958.3688294652,744372.2041321094
9.76087,63.63641,1823336.7245745668,715799.2126108438
10.51512,63.60122,1845086.5232741334,686020.8697358707
8.3142,63.4133,1758563.1978481854,753016.9014474349
9.57113,64.651,1900093.193085918,796200.8865733079
9.7667,64.05,1857251.1479522989,745706.9577722182
9.3862,63.6085,1808964.781159704,727399.3736675386
9.8,63.6,1821633.3415520452,711725.7382816558
8.37913,64.0298,1811993.363187689,794278.0964396598
8.0167,63.8667,1787152.200061705,796060.5020274296
9.7833,64.0083,1854382.832400088,742079.7623646855
11.07982,63.8431,1883078.7774998783,683930.5058447078
9.2083,63.6383,1805706.9384384349,736049.0577681798
11.0867,63.9017,1887983.6077055654,688064.2059341718
9.73435,64.67911,1907440.2156239892,792549.9785633606
10.51127,63.60154,1844985.7480114044,686182.6181514913
8.50092,64.12283,1823499.1691730958,796443.0820507908
10.51665,63.59726,1844817.4043202782,685673.1237575049
7.97905,63.85799,1785257.340324046,796837.4932669322
10.4764,63.5632,1840744.7897581195,684600.0735450373
8.50001,64.12755,1823862.9461774386,796810.8152800505
9.3728,63.6078,1808476.4169735194,727837.8319086835
9.2667,63.6767,1810735.272752808,736686.4337261249
11.32001,64.99816,1982664.8368724776,761930.0839008805
11.0545,63.8858,1885656.3491377097,688008.7534484307
9.9917,63.4742,1817627.4416350387,695569.4746979454
11.28585,65.00816,1982379.3947297123,763819.687803891
9.8,63.5833,1820270.8712865007,710507.5492693721
9.9,63.5333,1819446.026732246,703225.6851335589
9.7667,64.0167,1854537.824180172,743283.802486222
7.85744,63.7021,1768412.189382956,790404.6013732348
9.15819,64.31317,1859624.5259436234,786414.6024097858
10.875,63.885,1879706.1325870447,694269.148206427
8.50052,64.12541,1823701.0280123765,796640.5608846252
10.50399,63.6045,1844985.2162990237,686662.6025708581
10.5,63.55,1840456.3246084908,682775.9259883391
9.20658,64.25736,1856549.2820119322,780679.5574865679
7.9658,63.8148,1781228.2612974448,794293.497829536
11.29551,65.00535,1982461.3730881393,763286.6996913012
